QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	List of institutions managing official statistics in Lithuania can be found at  https://www.stat.gov.lt/en/oficialiaja-statistika-tvarkancios-institucijos	NSO Delegate Bodies	ONA:s	State institutions, which provide official statistics	Statistical units in public agencies, eg. the immigration authority, Directorate of Fisheries, Public Health Institute etc.	The term official statistics is new in Denmark. In our new statistical law it is possoble for other institutions than the NSO upon request, to produce official statistics. So far no onstitutions outside the NSO prduce official statistics in Denmark	statutory/regulatory authorities and government corporations	NA
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R01	Statistical offices at the sub-national level (region, province, etc.)	Africa	8.6	9.68								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R01	Statistical offices at the sub-national level (region, province, etc.)	Americas	9.68	4.3								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R01	Statistical offices at the sub-national level (region, province, etc.)	Asia	10.75	15.05								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R01	Statistical offices at the sub-national level (region, province, etc.)	Europe	21.51	16.13								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R01	Statistical offices at the sub-national level (region, province, etc.)	Oceania	2.15	2.15								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R02	Statistical services in line ministries	Africa	3.23	15.05								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R02	Statistical services in line ministries	Americas	1.08	12.9								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R02	Statistical services in line ministries	Asia		25.81								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R02	Statistical services in line ministries	Europe	9.68	27.96								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R02	Statistical services in line ministries	Oceania		4.3								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R03	Statistical services in the Central Bank	Africa		18.28								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R03	Statistical services in the Central Bank	Americas	1.08	12.9								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R03	Statistical services in the Central Bank	Asia	1.08	24.73								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R03	Statistical services in the Central Bank	Europe	6.45	31.18								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R03	Statistical services in the Central Bank	Oceania	1.08	3.23								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R04	Statistical research and training centers	Africa	12.9	5.38								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R04	Statistical research and training centers	Americas	9.68	4.3								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R04	Statistical research and training centers	Asia	17.2	8.6								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R04	Statistical research and training centers	Europe	36.56	1.08								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R04	Statistical research and training centers	Oceania	3.23	1.08								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R05	Private institutions	Africa	15.05	3.23								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R05	Private institutions	Americas	9.68	4.3								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R05	Private institutions	Asia	22.58	3.23								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R05	Private institutions	Europe	36.56	1.08								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R05	Private institutions	Oceania	4.3									
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R06	Public research institutions	Africa	11.83	6.45								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R06	Public research institutions	Americas	9.68	4.3								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R06	Public research institutions	Asia	21.51	4.3								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R06	Public research institutions	Europe	30.11	7.53								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R06	Public research institutions	Oceania	3.23	1.08								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R07	Supra-national bodies (e.g. Eurostat)	Africa	16.13	2.15								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R07	Supra-national bodies (e.g. Eurostat)	Americas	11.83	2.15								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R07	Supra-national bodies (e.g. Eurostat)	Asia	24.73	1.08								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R07	Supra-national bodies (e.g. Eurostat)	Europe	30.11	7.53								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R07	Supra-national bodies (e.g. Eurostat)	Oceania	4.3									
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R08	Other	Africa	17.2	1.08								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R08	Other	Americas	12.9	1.08								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R08	Other	Asia	25.81									
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R08	Other	Europe	32.26	5.38								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R08	Other	Oceania	4.3									
