QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	A selection of other national statistical authorities are also monitored by the European Statistical System's Peer Reviews	Agreement with the National Central Bank	Bilateral meetings with line ministries	Cooperation at professional/working level	Development of a website for the statistical system	Meeting with the responsable of the reseach institutions to share knowledge and experience	Monitoring by ELSTAT of the compliance of ELSS agencies with the European Statistics Code of Practice, in the framework of the obligation of ELSTAT provided for in the Greek Statistical Law to certify as	Providing technical assistance and statistical advice on use of data	Share resources between entities to execute statistical operations	Sharing of information and also attachment of staff of other institutions to the NSO	Signing of contracts on cooperation and data exchange for official statistics purposes.	The statistical offices of the federation and the laender are preparing consolidated programs of statistical activities, including regular quality reviews, but this is not the case for the entire NSS so far.	This is done for European statistics - official statistics is	NA
Q08.2	Activities currently being implemented for coordinating the NSS	R01	Signing of memorandums of understanding between agencies	Africa	4.3	13.98														
Q08.2	Activities currently being implemented for coordinating the NSS	R01	Signing of memorandums of understanding between agencies	Americas	2.15	11.83														
Q08.2	Activities currently being implemented for coordinating the NSS	R01	Signing of memorandums of understanding between agencies	Asia	5.38	20.43														
Q08.2	Activities currently being implemented for coordinating the NSS	R01	Signing of memorandums of understanding between agencies	Europe	11.83	25.81														
Q08.2	Activities currently being implemented for coordinating the NSS	R01	Signing of memorandums of understanding between agencies	Oceania		4.3														
Q08.2	Activities currently being implemented for coordinating the NSS	R02	Meeting in statistical committees, councils, etc. 	Africa	2.15	16.13														
Q08.2	Activities currently being implemented for coordinating the NSS	R02	Meeting in statistical committees, councils, etc. 	Americas	1.08	12.9														
Q08.2	Activities currently being implemented for coordinating the NSS	R02	Meeting in statistical committees, councils, etc. 	Asia	2.15	23.66														
Q08.2	Activities currently being implemented for coordinating the NSS	R02	Meeting in statistical committees, councils, etc. 	Europe	3.23	34.41														
Q08.2	Activities currently being implemented for coordinating the NSS	R02	Meeting in statistical committees, councils, etc. 	Oceania	2.15	2.15														
Q08.2	Activities currently being implemented for coordinating the NSS	R03	Sharing of information and databases	Africa	4.3	13.98														
Q08.2	Activities currently being implemented for coordinating the NSS	R03	Sharing of information and databases	Americas	2.15	11.83														
Q08.2	Activities currently being implemented for coordinating the NSS	R03	Sharing of information and databases	Asia	2.15	23.66														
Q08.2	Activities currently being implemented for coordinating the NSS	R03	Sharing of information and databases	Europe	11.83	25.81														
Q08.2	Activities currently being implemented for coordinating the NSS	R03	Sharing of information and databases	Oceania	1.08	3.23														
Q08.2	Activities currently being implemented for coordinating the NSS	R04	Developing joint training programmes	Africa	6.45	11.83														
Q08.2	Activities currently being implemented for coordinating the NSS	R04	Developing joint training programmes	Americas	6.45	7.53														
Q08.2	Activities currently being implemented for coordinating the NSS	R04	Developing joint training programmes	Asia	3.23	22.58														
Q08.2	Activities currently being implemented for coordinating the NSS	R04	Developing joint training programmes	Europe	19.35	18.28														
Q08.2	Activities currently being implemented for coordinating the NSS	R04	Developing joint training programmes	Oceania	1.08	3.23														
Q08.2	Activities currently being implemented for coordinating the NSS	R05	Exchanging staff between agencies	Africa	10.75	7.53														
Q08.2	Activities currently being implemented for coordinating the NSS	R05	Exchanging staff between agencies	Americas	11.83	2.15														
Q08.2	Activities currently being implemented for coordinating the NSS	R05	Exchanging staff between agencies	Asia	18.28	7.53														
Q08.2	Activities currently being implemented for coordinating the NSS	R05	Exchanging staff between agencies	Europe	33.33	4.3														
Q08.2	Activities currently being implemented for coordinating the NSS	R05	Exchanging staff between agencies	Oceania	2.15	2.15														
Q08.2	Activities currently being implemented for coordinating the NSS	R06	Placement of NSO staff in other agencies	Africa	8.6	9.68														
Q08.2	Activities currently being implemented for coordinating the NSS	R06	Placement of NSO staff in other agencies	Americas	9.68	4.3														
Q08.2	Activities currently being implemented for coordinating the NSS	R06	Placement of NSO staff in other agencies	Asia	18.28	7.53														
Q08.2	Activities currently being implemented for coordinating the NSS	R06	Placement of NSO staff in other agencies	Europe	34.41	3.23														
Q08.2	Activities currently being implemented for coordinating the NSS	R06	Placement of NSO staff in other agencies	Oceania	2.15	2.15														
Q08.2	Activities currently being implemented for coordinating the NSS	R07	Reviewing and â€œclearingâ€ any planned data collection	Africa	12.9	5.38														
Q08.2	Activities currently being implemented for coordinating the NSS	R07	Reviewing and â€œclearingâ€ any planned data collection	Americas	11.83	2.15														
Q08.2	Activities currently being implemented for coordinating the NSS	R07	Reviewing and â€œclearingâ€ any planned data collection	Asia	16.13	9.68														
Q08.2	Activities currently being implemented for coordinating the NSS	R07	Reviewing and â€œclearingâ€ any planned data collection	Europe	25.81	11.83														
Q08.2	Activities currently being implemented for coordinating the NSS	R07	Reviewing and â€œclearingâ€ any planned data collection	Oceania	4.3															
Q08.2	Activities currently being implemented for coordinating the NSS	R08	Monitoring duplication of work between agencies	Africa	8.6	9.68														
Q08.2	Activities currently being implemented for coordinating the NSS	R08	Monitoring duplication of work between agencies	Americas	8.6	5.38														
Q08.2	Activities currently being implemented for coordinating the NSS	R08	Monitoring duplication of work between agencies	Asia	11.83	13.98														
Q08.2	Activities currently being implemented for coordinating the NSS	R08	Monitoring duplication of work between agencies	Europe	17.2	20.43														
Q08.2	Activities currently being implemented for coordinating the NSS	R08	Monitoring duplication of work between agencies	Oceania	3.23	1.08														
Q08.2	Activities currently being implemented for coordinating the NSS	R09	Sharing budget between statistical agencies	Africa	12.9	5.38														
Q08.2	Activities currently being implemented for coordinating the NSS	R09	Sharing budget between statistical agencies	Americas	10.75	3.23														
Q08.2	Activities currently being implemented for coordinating the NSS	R09	Sharing budget between statistical agencies	Asia	21.51	4.3														
Q08.2	Activities currently being implemented for coordinating the NSS	R09	Sharing budget between statistical agencies	Europe	35.48	2.15														
Q08.2	Activities currently being implemented for coordinating the NSS	R09	Sharing budget between statistical agencies	Oceania	1.08	3.23														
Q08.2	Activities currently being implemented for coordinating the NSS	R10	Embarking in joint data collection	Africa	8.6	9.68														
Q08.2	Activities currently being implemented for coordinating the NSS	R10	Embarking in joint data collection	Americas	8.6	5.38														
Q08.2	Activities currently being implemented for coordinating the NSS	R10	Embarking in joint data collection	Asia	15.05	10.75														
Q08.2	Activities currently being implemented for coordinating the NSS	R10	Embarking in joint data collection	Europe	20.43	17.2														
Q08.2	Activities currently being implemented for coordinating the NSS	R10	Embarking in joint data collection	Oceania	2.15	2.15														
Q08.2	Activities currently being implemented for coordinating the NSS	R11	Preparing annual or multi-annual consolidated program of statistical activities	Africa	8.6	9.68														
Q08.2	Activities currently being implemented for coordinating the NSS	R11	Preparing annual or multi-annual consolidated program of statistical activities	Americas	7.53	6.45														
Q08.2	Activities currently being implemented for coordinating the NSS	R11	Preparing annual or multi-annual consolidated program of statistical activities	Asia	12.9	12.9														
Q08.2	Activities currently being implemented for coordinating the NSS	R11	Preparing annual or multi-annual consolidated program of statistical activities	Europe	12.9	24.73														
Q08.2	Activities currently being implemented for coordinating the NSS	R11	Preparing annual or multi-annual consolidated program of statistical activities	Oceania	4.3															
Q08.2	Activities currently being implemented for coordinating the NSS	R12	Performing regular quality reviews of statistical programs across the NSS	Africa	13.98	4.3														
Q08.2	Activities currently being implemented for coordinating the NSS	R12	Performing regular quality reviews of statistical programs across the NSS	Americas	9.68	4.3														
Q08.2	Activities currently being implemented for coordinating the NSS	R12	Performing regular quality reviews of statistical programs across the NSS	Asia	18.28	7.53														
Q08.2	Activities currently being implemented for coordinating the NSS	R12	Performing regular quality reviews of statistical programs across the NSS	Europe	24.73	12.9														
Q08.2	Activities currently being implemented for coordinating the NSS	R12	Performing regular quality reviews of statistical programs across the NSS	Oceania	2.15	2.15														
Q08.2	Activities currently being implemented for coordinating the NSS	R13	Other	Africa	5.38	12.9														
Q08.2	Activities currently being implemented for coordinating the NSS	R13	Other	Americas	3.23	10.75														
Q08.2	Activities currently being implemented for coordinating the NSS	R13	Other	Asia	6.45	19.35														
Q08.2	Activities currently being implemented for coordinating the NSS	R13	Other	Europe	10.75	26.88														
Q08.2	Activities currently being implemented for coordinating the NSS	R13	Other	Oceania	1.08	3.23														
Q08.2	Activities currently being implemented for coordinating the NSS	R14	None Of The Above	Africa	18.28															
Q08.2	Activities currently being implemented for coordinating the NSS	R14	None Of The Above	Americas	13.98															
Q08.2	Activities currently being implemented for coordinating the NSS	R14	None Of The Above	Asia	25.81															
Q08.2	Activities currently being implemented for coordinating the NSS	R14	None Of The Above	Europe	36.56	1.08														
Q08.2	Activities currently being implemented for coordinating the NSS	R14	None Of The Above	Oceania	4.3															
Q08.2	Activities currently being implemented for coordinating the NSS	R15	Other (detail)	Africa							1.08	1.08								16.13
Q08.2	Activities currently being implemented for coordinating the NSS	R15	Other (detail)	Americas					1.08					1.08	1.08	1.08				9.68
Q08.2	Activities currently being implemented for coordinating the NSS	R15	Other (detail)	Asia																25.81
Q08.2	Activities currently being implemented for coordinating the NSS	R15	Other (detail)	Europe			1.08	1.08		1.08			1.08				1.08	1.08	1.08	30.11
Q08.2	Activities currently being implemented for coordinating the NSS	R15	Other (detail)	Oceania																4.3
