QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	ARC under DOSM	Data dissemination is dictated by the producing agencies.	Dissemination  calendar is at NSO level  only.	Key statistics are released in Yearbook of Statistics and Economic Survey of Singapore	Research Data Centres of official statistrics, coordinated between the Federal Statistical Office and the Research Data Centre of the Statistical Offices of the Federal States.	There is no coordinated dissemination portal	coordination is implemented indirectly through the principles of the Code of Practice;	meeting, trainning	NA
Q08.4	How is dissemination coordinated across the NSS	R01	Unified release calendar	Africa	10.75	7.53									
Q08.4	How is dissemination coordinated across the NSS	R01	Unified release calendar	Americas	11.83	2.15									
Q08.4	How is dissemination coordinated across the NSS	R01	Unified release calendar	Asia	16.13	9.68									
Q08.4	How is dissemination coordinated across the NSS	R01	Unified release calendar	Europe	26.88	10.75									
Q08.4	How is dissemination coordinated across the NSS	R01	Unified release calendar	Oceania	4.3										
Q08.4	How is dissemination coordinated across the NSS	R02	Standardized microdata structure	Africa	17.2	1.08									
Q08.4	How is dissemination coordinated across the NSS	R02	Standardized microdata structure	Americas	11.83	2.15									
Q08.4	How is dissemination coordinated across the NSS	R02	Standardized microdata structure	Asia	24.73	1.08									
Q08.4	How is dissemination coordinated across the NSS	R02	Standardized microdata structure	Europe	34.41	3.23									
Q08.4	How is dissemination coordinated across the NSS	R02	Standardized microdata structure	Oceania	4.3										
Q08.4	How is dissemination coordinated across the NSS	R03	Standardized metadata structure	Africa	15.05	3.23									
Q08.4	How is dissemination coordinated across the NSS	R03	Standardized metadata structure	Americas	11.83	2.15									
Q08.4	How is dissemination coordinated across the NSS	R03	Standardized metadata structure	Asia	19.35	6.45									
Q08.4	How is dissemination coordinated across the NSS	R03	Standardized metadata structure	Europe	30.11	7.53									
Q08.4	How is dissemination coordinated across the NSS	R03	Standardized metadata structure	Oceania	4.3										
Q08.4	How is dissemination coordinated across the NSS	R04	Other	Africa	18.28										
Q08.4	How is dissemination coordinated across the NSS	R04	Other	Americas	12.9	1.08									
Q08.4	How is dissemination coordinated across the NSS	R04	Other	Asia	21.51	4.3									
Q08.4	How is dissemination coordinated across the NSS	R04	Other	Europe	35.48	2.15									
Q08.4	How is dissemination coordinated across the NSS	R04	Other	Oceania	3.23	1.08									
Q08.4	How is dissemination coordinated across the NSS	R05	None Of The Above	Africa	9.68	8.6									
Q08.4	How is dissemination coordinated across the NSS	R05	None Of The Above	Americas	5.38	8.6									
Q08.4	How is dissemination coordinated across the NSS	R05	None Of The Above	Asia	19.35	6.45									
Q08.4	How is dissemination coordinated across the NSS	R05	None Of The Above	Europe	19.35	18.28									
Q08.4	How is dissemination coordinated across the NSS	R05	None Of The Above	Oceania	1.08	3.23									
Q08.4	How is dissemination coordinated across the NSS	R06	Other (detail)	Africa											18.28
Q08.4	How is dissemination coordinated across the NSS	R06	Other (detail)	Americas				1.08							12.9
Q08.4	How is dissemination coordinated across the NSS	R06	Other (detail)	Asia			1.08		1.08	1.08				1.08	21.51
Q08.4	How is dissemination coordinated across the NSS	R06	Other (detail)	Europe							1.08		1.08		35.48
Q08.4	How is dissemination coordinated across the NSS	R06	Other (detail)	Oceania								1.08			3.23
