QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	1	Europe	35	37.63
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	1	Africa	16	17.2
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	1	Americas	11	11.83
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	1	Oceania	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	0	Americas	2	2.15
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	1	Asia	23	24.73
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	0	Africa	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	0	Asia	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	1	Europe	31	33.33
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	1	Africa	16	17.2
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	1	Americas	12	12.9
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	1	Oceania	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	0	Europe	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	1	Asia	23	24.73
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	0	Americas	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	0	Africa	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	0	Asia	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	1	Europe	31	33.33
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	1	Africa	15	16.13
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	1	Americas	13	13.98
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	1	Oceania	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	0	Europe	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	1	Asia	20	21.51
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	0	Asia	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	0	Africa	2	2.15
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	0	Europe	21	22.58
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	0	Africa	7	7.53
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	1	Americas	6	6.45
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	1	Oceania	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	1	Europe	14	15.05
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	0	Americas	7	7.53
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	0	Asia	14	15.05
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	1	Africa	10	10.75
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	1	Asia	10	10.75
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	1	Europe	31	33.33
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	1	Africa	16	17.2
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	1	Americas	12	12.9
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	1	Oceania	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	0	Europe	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	1	Asia	20	21.51
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	0	Americas	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	0	Asia	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	0	Africa	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	1	Europe	29	31.18
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	1	Africa	13	13.98
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	0	Americas	7	7.53
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	1	Oceania	3	3.23
