QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Bileteral co-operation with different countries (Memorandum of Understanding)	More than 300 business trips are organized each year (and the number is increasing- 386 in 2017). Moreover, Statistics Poland hosts incoming delegations (around 30 a year). We have not yet entered yet into twinning projects. Visits within TAIEX as well as bilateral cooperation within Polish Aid programme were undertaken.	Study visits to NSOs	Through the statistical certification system, external evaluations are promoted among peers and other United Nations agencies.	hosting many international events like UN World Data Forum	participation in different international projects	NA
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	Africa	1.08	17.2							
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	Americas	2.15	11.83							
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	Asia	1.08	24.73							
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	Europe		37.63							
Q10.1	Types of international cooperation activities the NSS engages in	R01	Participation in international working groups	Oceania		4.3							
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	Africa	1.08	17.2							
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	Americas	1.08	12.9							
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	Asia	1.08	24.73							
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	Europe	4.3	33.33							
Q10.1	Types of international cooperation activities the NSS engages in	R02	Participation in regional working groups	Oceania		4.3							
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	Africa	2.15	16.13							
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	Americas		13.98							
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	Asia	4.3	21.51							
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	Europe	4.3	33.33							
Q10.1	Types of international cooperation activities the NSS engages in	R03	Technical cooperation	Oceania		4.3							
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	Africa	7.53	10.75							
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	Americas	7.53	6.45							
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	Asia	15.05	10.75							
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	Europe	22.58	15.05							
Q10.1	Types of international cooperation activities the NSS engages in	R04	Twinning (peer to peer collaboration)	Oceania		4.3							
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	Africa	1.08	17.2							
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	Americas	1.08	12.9							
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	Asia	4.3	21.51							
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	Europe	4.3	33.33							
Q10.1	Types of international cooperation activities the NSS engages in	R05	Training of statistical personnel	Oceania		4.3							
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	Africa	4.3	13.98							
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	Americas	7.53	6.45							
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	Asia	7.53	18.28							
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	Europe	6.45	31.18							
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	Oceania	1.08	3.23							
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	Africa	18.28								
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	Americas	12.9	1.08							
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	Asia	23.66	2.15							
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	Europe	34.41	3.23							
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	Oceania	4.3								
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	Africa	18.28								
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	Americas	13.98								
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	Asia	25.81								
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	Europe	37.63								
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	Oceania	4.3								
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	Africa									18.28
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	Americas						1.08			12.9
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	Asia					1.08		1.08		23.66
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	Europe			1.08	1.08				1.08	34.41
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	Oceania									4.3
