QuestionID	QuestionText	BlockID	BlockText	0	1	Analysts, tourism industry, Eurostat	Central Bank; Ministry of Finance	Environmental associations	Lithuanian Bishops' Conference	Ministries and Government bodies, Professional Associations	Ministry representatives	National Bank	National Central Bank, local authorities	Parlement; Banque centrale	Research organizations	Researchers from public, private and academia	Students, researchers and businesses	NA
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R01	Government employees (administrative staff, technical staff)	41.94	58.06													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R02	Policy-makers (ministers, politicians)	54.84	45.16													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R03	Workers' unions	73.12	26.88													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R04	Chamber of commerce or other business networks	51.61	48.39													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R05	Academia and professional associations (e.g. statistical society)	44.09	55.91													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R06	Civil society organizations (e.g., NGOs)	60.22	39.78													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R07	Mass media	69.89	30.11													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R08	General public	77.42	22.58													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R09	International organizations, including financial institutions	75.27	24.73													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R10	Other	87.1	12.9													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R11	Other (detail)			1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	87.1
