QuestionID	QuestionText	BlockID	BlockText	0	1	Data users are also able to sign up for email notifications	Quarterly press conferences	geoportal, infographics, etc.	NA
Q01.4	Measures currently in place for disseminating statistics	R01	Appointment of a specialized unit responsible for dissemination at the NSO	9.68	90.32				
Q01.4	Measures currently in place for disseminating statistics	R02	Pursuing a dissemination/communications strategy	29.03	70.97				
Q01.4	Measures currently in place for disseminating statistics	R03	Publishing an advanced release calendar, announcing when various statistics will be published	17.2	82.8				
Q01.4	Measures currently in place for disseminating statistics	R04	Publishing catalogues of available publications, documents, and other services	26.88	73.12				
Q01.4	Measures currently in place for disseminating statistics	R05	Using various dissemination media, such as print publications, online pdf files, etc.	2.15	97.85				
Q01.4	Measures currently in place for disseminating statistics	R06	Providing online data for exploration by general users (interactive online database interfaces, fully formatted excel files)	16.13	83.87				
Q01.4	Measures currently in place for disseminating statistics	R07	Providing data downloads in proprietary formats for data analysis software (e.g, Excel, Access, Stata, SAS, SPSS)	25.81	74.19				
Q01.4	Measures currently in place for disseminating statistics	R08	Providing data downloads in open machine-readable formats (such as CSV, XML, JSON)	41.94	58.06				
Q01.4	Measures currently in place for disseminating statistics	R09	Providing online access to data via APIs	62.37	37.63				
Q01.4	Measures currently in place for disseminating statistics	R10	Providing user support via e-mail, written correspondence or telephone	9.68	90.32				
Q01.4	Measures currently in place for disseminating statistics	R11	None of the above	100					
Q01.4	Measures currently in place for disseminating statistics	R12	Does not know 	100					
Q01.4	Measures currently in place for disseminating statistics	R13	Other	96.77	3.23				
Q01.4	Measures currently in place for disseminating statistics	R14	Other (detail)			1.08	1.08	1.08	96.77
