QuestionID	QuestionText	BlockID	BlockText	Answer	N	Percentage
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	0	55	59.14
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	For non-commercial purposes	1	38	40.86
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes	0	75	80.65
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	For commercial purposes	1	18	19.35
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R03	For a fee	0	79	84.95
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R03	For a fee	1	14	15.05
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R04	Under condition of attribution of the source 	0	39	41.94
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R04	Under condition of attribution of the source 	1	54	58.06
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R05	Other	0	71	76.34
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R05	Other	1	22	23.66
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)		71	76.34
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	free of charge	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Never, unless express approval from SIB is obtained	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Not applicable	2	2.15
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Other: Statistics Canada's open license now applies to public use microdata files.	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	only aggregates can be re-distributed	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Microdata canÂ´t be re-distributed	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	For research. Only Danish research environments are granted authorisation. Access is given to anonymised micro data.	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	only aggregated datrasets for non-commercial purposes with the indication of the source	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Anonymised microdata cannot be redistributed	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Only aggregates can be distributed for any purposes (commercial and non-commercial).	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Aggregates - under condition of attribution of the source; Anonymized microdata â€“ any re-distribution is not foreseen.	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Under condition of respecting data protection rules	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Anonymised microdata cannot be redistributed but others can such as data downloads available in proprietary formats on the website of Statistics Mauritius.	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Aggregates can be re-distributed for commercial purposes. Anonymized microdata cannot be re-distributed under any circumstances.	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	No	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	In conformity with Law 226/2009 and Reg. No. 557/2013.	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	if bilateral agreement is made and a minimal fee is paid	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	quelques microdonnées sont fournies aux bureaux d'étude privés contre paiement marginal	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	By negotiation	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	Not for anonymised microdata	1	1.08
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	Other (detail)	N/A  The conditions in which (post-release) micro data is available may happen, varying amongst agencies.  For example, to access certain Census Bureau microdata, you have to be a sworn Census Bureau employee.	1	1.08
