QuestionID	QuestionText	BlockID	BlockText	0	1	ArmStatBank at https://www.armstat.am/en/?nid=13, Armenia SDGs indicators at https://www.armstat.am/en/?nid=655	CZSO provides special applications (Public Database, External Trade, National Accounts) to use by users	IMF Open Data Platform	LankaSis	Mexico open data portal (datos.gob.mx)	NATIONAL SUMMERY PAGE	National Data Portal	National Open Data portal accessible at: https://data.govmu.org/dkan/	National web page (NSDP) on eGDDS	Open Data Portal	Open data - data.public.lu (La plate-forme de données luxembourgeoise); www.grande-region.lu	Oracle databases in-house developed	PC-Axis	PX-Web	PX-web	PxWeb for statistical database	REDATAM for census	ReDATAM	Redatam	STATcube - Statistics Austrias Database	SingStat Mobile Application	StatBank (http://www.statistica.md/pageview.php?l=ro&idc=407) GenderPulse (http://genderpulse.md/?utm_source=Statistica&utm_medium=banner&utm_campaign=main_page),  Census platform (http://recensamant.statistica.md/)	The NSA App as the custom-developed data platform	agency websites	data.gov.my (Malaysia Open Data portal) and IMF (Subscribe with SDDS)	gov. data (German Data Platform)	https://www.data.gouv.fr/, https://www.insee.fr/	own website	the following systems are used to share the data with international organizations: Integrated Correspondence System (ICS) for IMF, FTP for UN.	NA
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	87.1	12.9																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	68.82	31.18																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	83.87	16.13																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	80.65	19.35																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	73.12	26.88																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R06	IMIS	94.62	5.38																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	78.49	21.51																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R08	OECD.Stat	75.27	24.73																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R09	US/UK open source SDGs National Reporting Platform	90.32	9.68																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R10	Prognoz (Open Data Portal) & Knoema	91.4	8.6																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R11	Custom-developed data platform	55.91	44.09																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R12	Other	44.09	55.91																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R13	None Of The Above	96.77	3.23																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R14	Other (detail)			1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	2.15	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	67.74
