QuestionID	QuestionText	BlockID	BlockText	Answer	N	Percentage
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R01	The private provider of data (e.g. mobile phone operator) has been selected after weighing alternatives	0	72	77.42
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R01	The private provider of data (e.g. mobile phone operator) has been selected after weighing alternatives	1	21	22.58
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R02	The data provider (whether a CSO or private institution) does not contribute to methodological decisions regarding the use of the data	0	66	70.97
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R02	The data provider (whether a CSO or private institution) does not contribute to methodological decisions regarding the use of the data	1	27	29.03
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R03	The NSS has a contract with the data provider	0	69	74.19
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R03	The NSS has a contract with the data provider	1	24	25.81
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R04	Consumers/citizens are informed that their data is being used for compiling official statistics	0	74	79.57
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R04	Consumers/citizens are informed that their data is being used for compiling official statistics	1	19	20.43
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R05	There are specific rules of access and confidentiality measures to treat these datasets	0	58	62.37
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	R05	There are specific rules of access and confidentiality measures to treat these datasets	1	35	37.63
