QuestionID	QuestionText	BlockID	BlockText	0	1	List of institutions managing official statistics in Lithuania can be found at  https://www.stat.gov.lt/en/oficialiaja-statistika-tvarkancios-institucijos	NSO Delegate Bodies	ONA:s	State institutions, which provide official statistics	Statistical units in public agencies, eg. the immigration authority, Directorate of Fisheries, Public Health Institute etc.	The term official statistics is new in Denmark. In our new statistical law it is possoble for other institutions than the NSO upon request, to produce official statistics. So far no onstitutions outside the NSO prduce official statistics in Denmark	statutory/regulatory authorities and government corporations	NA
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R01	Statistical offices at the sub-national level (region, province, etc.)	52.69	47.31								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R02	Statistical services in line ministries	13.98	86.02								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R03	Statistical services in the Central Bank	9.68	90.32								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R04	Statistical research and training centers	79.57	20.43								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R05	Private institutions	88.17	11.83								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R06	Public research institutions	76.34	23.66								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R07	Supra-national bodies (e.g. Eurostat)	87.1	12.9								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R08	Other	92.47	7.53								
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R09	None Of The Above	100									
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R10	Other (detail)			1.08	1.08	1.08	1.08	1.08	1.08	1.08	92.47
