QuestionID	QuestionText	BlockID	BlockText	0	1	A selection of other national statistical authorities are also monitored by the European Statistical System's Peer Reviews	Agreement with the National Central Bank	Bilateral meetings with line ministries	Cooperation at professional/working level	Development of a website for the statistical system	Meeting with the responsable of the reseach institutions to share knowledge and experience	Monitoring by ELSTAT of the compliance of ELSS agencies with the European Statistics Code of Practice, in the framework of the obligation of ELSTAT provided for in the Greek Statistical Law to certify as	Providing technical assistance and statistical advice on use of data	Share resources between entities to execute statistical operations	Sharing of information and also attachment of staff of other institutions to the NSO	Signing of contracts on cooperation and data exchange for official statistics purposes.	The statistical offices of the federation and the laender are preparing consolidated programs of statistical activities, including regular quality reviews, but this is not the case for the entire NSS so far.	This is done for European statistics - official statistics is	NA
Q08.2	Activities currently being implemented for coordinating the NSS	R01	Signing of memorandums of understanding between agencies	23.66	76.34														
Q08.2	Activities currently being implemented for coordinating the NSS	R02	Meeting in statistical committees, councils, etc. 	10.75	89.25														
Q08.2	Activities currently being implemented for coordinating the NSS	R03	Sharing of information and databases	21.51	78.49														
Q08.2	Activities currently being implemented for coordinating the NSS	R04	Developing joint training programmes	36.56	63.44														
Q08.2	Activities currently being implemented for coordinating the NSS	R05	Exchanging staff between agencies	76.34	23.66														
Q08.2	Activities currently being implemented for coordinating the NSS	R06	Placement of NSO staff in other agencies	73.12	26.88														
Q08.2	Activities currently being implemented for coordinating the NSS	R07	Reviewing and â€œclearingâ€ any planned data collection	70.97	29.03														
Q08.2	Activities currently being implemented for coordinating the NSS	R08	Monitoring duplication of work between agencies	49.46	50.54														
Q08.2	Activities currently being implemented for coordinating the NSS	R09	Sharing budget between statistical agencies	81.72	18.28														
Q08.2	Activities currently being implemented for coordinating the NSS	R10	Embarking in joint data collection	54.84	45.16														
Q08.2	Activities currently being implemented for coordinating the NSS	R11	Preparing annual or multi-annual consolidated program of statistical activities	46.24	53.76														
Q08.2	Activities currently being implemented for coordinating the NSS	R12	Performing regular quality reviews of statistical programs across the NSS	68.82	31.18														
Q08.2	Activities currently being implemented for coordinating the NSS	R13	Other	26.88	73.12														
Q08.2	Activities currently being implemented for coordinating the NSS	R14	None Of The Above	98.92	1.08														
Q08.2	Activities currently being implemented for coordinating the NSS	R15	Other (detail)			1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	86.02
